method,window,period,date,selected_plan,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
fixed,dev_march,development,2025-03-07,fixed,1607.6682326867735,1799.9208019068776,34105.28322439623,0.0,14008.337912463983,0.0,14008.337912463983,531.8709466337457,9508.771124961786,15628.04372194356,12485.688102476191,13903.05055261488,0,MILP,0.10423190001165494,1.6484591469634324e-12,0
fixed,dev_march,development,2025-03-08,fixed,1799.9208019068776,1746.895154250794,32969.960558318635,0.0,13541.247898128067,0.0,13541.247898128067,563.4289694779532,10443.300079954146,15514.816184791298,12614.724192571426,13569.75113906397,0,MILP,0.07879619998857379,1.8189894035458565e-12,0
fixed,dev_march,development,2025-03-09,fixed,1746.895154250794,1497.0878818254,76750.47358346674,0.0,48657.964996066505,0.0,48657.964996066505,7712.446859951786,2236.0208166666666,19438.460010690185,15969.979153841905,48834.18607186491,0,LP,0.004233499988913536,9.094947017729282e-13,0
fixed,dev_march,development,2025-03-10,fixed,1497.0878818254,1447.0377217671992,75521.66717870542,0.0,49316.9414253954,0.0,49316.9414253954,3105.2445878812405,360.69671666666625,21361.576674788947,17347.92225063143,49353.08796380294,0,LP,0.004850499972235411,6.821210263296962e-13,0
fixed,dev_march,development,2025-03-11,fixed,1447.0377217671992,1662.895132055023,75262.66522095354,0.0,48203.483376119584,0.0,48203.483376119584,5802.47982500058,1440.661016666667,20454.389000143445,16373.783420857146,48050.12666951531,0,LP,0.005430400022305548,7.736034035588091e-13,0
fixed,dev_march,development,2025-03-12,fixed,1662.895132055023,1466.3308394402127,74693.54267349676,0.0,47034.04083337411,0.0,47034.04083337411,6507.771753599041,2172.9285666666665,19759.029122373908,16181.721452476191,47172.058697138964,0,LP,0.00411890001851134,9.094947017729282e-13,0
fixed,dev_march,development,2025-03-13,fixed,1466.3308394402127,1411.4148678222232,73995.93129645854,73.52254619047426,47548.45323696022,465.8430567662733,48014.29629372649,2437.0919926325582,0.0,21769.306356873603,17682.562523523808,48053.8178769557,2,LP,0.004339699982665479,1.0231815394945443e-12,0
fixed,dev_march,development,2025-03-14,fixed,1411.4148678222232,1920.35807457037,32440.35028776249,0.0,13068.888752193583,0.0,13068.888752193583,386.3359957801317,12578.228842984125,15727.950418902996,12281.590953238094,12798.004684670395,0,MILP,0.09833670000080019,1.5347723092418164e-12,0
fixed,dev_march,development,2025-03-15,fixed,1920.35807457037,1370.7079328285708,31490.085345136977,0.0,13187.485332857172,0.0,13187.485332857172,542.0217663809522,7684.6754266843045,14915.516471786006,12576.253469714286,13486.657156756524,0,MILP,0.08366709999972954,3.069544618483633e-12,0
fixed,dev_march,development,2025-03-16,fixed,1370.7079328285708,1822.317553566139,73654.39127774484,0.0,46140.495111215314,0.0,46140.495111215314,5546.367084458555,488.8266500000001,20324.747112048204,16056.59650209524,45821.47553482218,0,LP,0.004413600021507591,9.094947017729282e-13,0
fixed,dev_march,development,2025-03-17,fixed,1822.317553566139,1941.2955254317476,72292.89841194473,0.0,44291.79878210785,0.0,44291.79878210785,8171.39584364609,2635.277233333333,18531.65119448912,14903.557292857142,44210.39903595997,0,LP,0.004352799995103851,9.094947017729282e-13,0
fixed,dev_march,development,2025-03-18,fixed,1941.2955254317476,1796.3681319396808,70198.11963049616,0.0,43415.931037321745,0.0,43415.931037321745,3916.050307040562,1253.98175,21224.020320693704,17321.89111390476,43517.15050284751,0,LP,0.005372500017983839,9.094947017729282e-13,0
